Name,Industry,Location,Csize,Website,Funding Stage,Funding Amount,Contact Numbers of decision-makers
Trullion,Computer Software,"New York,United States",11-50',https://www.trullion.com/,series a,$15M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Payhop,Financial Services,"So Paulo,Brazil",1-10',http://www.payhop.com.br/,seed,$2.238094M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Permit.io,Computer Software,"Tel Aviv-yafo,Israel",11-50',https://www.permit.io/,seed,$6M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Waka Coffee,Food & Beverages,"Irvine,United States",1-10',https://www.wakacoffee.com/,seed,$725K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Epirus,Defense & Space,United States,51-200',https://www.epirusinc.com/,series c,$344.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Aurox,Information Technology And Services,"Dallas,United States",1-10',http://www.getaurox.com/,venture funding,$5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Roomdex,Hospitality,"Santa Cruz,United States",11-50',https://www.roomdex.io/,corporate funding,$11M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Cybexer Technologies,Computer & Network Security,"Tallinn,Estonia",11-50',https://cybexer.com/,undisclosed,$5.68105M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Mexc Global,Internet,"Victoria,Seychelles",51-200',https://www.mexc.com/,undisclosed,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Bramble Energy,Renewables And Environment,"London,United Kingdom",11-50',https://www.brambleenergy.com/,series b,$57.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
